movie_id,people_id,role
1549312,5700072,1
1549312,5700073,1
1549312,5700074,1
1549312,5700075,1
1549312,5700076,1
1549312,1851314,2
1549312,59657,3
1549312,3025018,3
1549312,94457,3
1549312,1551350,3
1524748,1878076,1
1524748,3548058,1
1524748,4971100,2
1524748,5604652,3
1524748,5604653,3
1258509,1472678,1
1258509,87663,1
1258509,2294554,1
1258509,3390757,1
1258509,3390756,1
1258509,55584,1
1258509,97109,1
1258509,2804815,1
1258509,1640021,1
1258509,1666210,1
1258509,1292227,2
1258509,1841371,3
1258509,1556004,3
1563661,3572466,2
878608,2223265,1
878608,21911,1
878608,993943,1
878608,81128,1
878608,106581,1
878608,1549530,1
878608,2198399,1
878608,1749258,1
878608,3852137,1
878608,3059166,1
878608,1520165,2
878608,3095154,3
878608,4279275,3
878608,54318,3
1568785,4966992,1
1568785,4176533,1
1568785,5268199,2
1563664,3714963,2
1567761,1731993,1
1567761,2140917,1
1567761,2555232,2
1567761,2555232,3
1564692,5756520,2
1168402,1786470,1
1168402,4228988,1
1168402,1223726,1
1168402,231,1
1168402,1711569,1
1168402,212429,1
1168402,3401772,1
1168402,209151,1
1168402,1226806,1
1168402,82646,1
1168402,1786470,2
1168402,4228988,2
1168402,2115914,3
1168402,1358330,3
1168402,1223726,3
1168402,227346,3
1168402,4368722,3
1168402,5267906,3
1284120,2890913,1
1284120,63769,1
1284120,1384976,1
1284120,3126191,1
1284120,3676023,1
1284120,2984635,1
1284120,114580,1
1284120,213487,1
1284120,968176,1
1284120,526011,1
1284120,1480411,2
1284120,1365899,3
1546265,5450691,1
1546265,2498240,1
1546265,5688562,1
1546265,5688563,1
1546265,5688565,2
1546265,5688566,3
1288219,1509899,1
1288219,3832196,1
1288219,25703,1
1288219,79082,1
1288219,65760,1
1288219,1488952,1
1288219,6950,1
1288219,45407,1
1288219,17039,1
1288219,2807018,2
1288219,1718782,3
682012,4109899,1
682012,5404403,1
682012,1758849,1
682012,3062141,1
682012,1855003,1
682012,3722071,1
682012,5404404,1
682012,5404405,1
682012,2436895,1
682012,1837760,1
682012,2694520,2
682012,142070,2
682012,1896995,3
682012,1896997,3
682012,108842,3
682012,2262118,3
682012,52737,4
682012,2530709,4
682012,142070,4
682012,2694520,4
1568796,2353434,1
1568796,5772759,1
1568796,5772760,1
1568796,5772761,1
1568796,5772762,1
1568796,5772784,1
1568796,1862563,2
1568796,5772766,3
1568796,5772767,3
1172507,4256123,1
1172507,2863366,1
1172507,1511024,1
1172507,2204431,1
1172507,2344102,1
1172507,1696022,1
1172507,2981562,1
1172507,1765534,1
1172507,1606060,1
1172507,1997967,1
1172507,2327263,2
1172507,2327263,3
1172507,4874380,3
1172507,4842693,3
1462304,5361665,1
1462304,5361666,1
1462304,5361668,1
1462304,4515560,1
1462304,5734952,1
1462304,5734953,1
1462304,5734954,1
1462304,5734955,1
1462304,5734956,1
1462304,4456429,2
1462304,4456429,3
1462304,5015998,3
1493026,1090940,2
1493026,1692001,3
1567779,3884721,1
1567779,5768969,1
1567779,5768970,1
1567779,5769014,2
1552421,4101576,1
1552421,4713006,1
1552421,1225534,1
1552421,1278477,1
1552421,1545548,1
1552421,1807976,1
1552421,1697398,1
1552421,4215845,1
1552421,5771076,1
1552421,5771089,1
1552421,4391083,2
1552421,4276017,3
1159206,2887,1
1159206,1023139,1
1159206,167640,1
1159206,44079,1
1159206,112,1
1159206,1080195,1
1159206,1048644,1
1159206,1789788,1
1159206,2275493,1
1159206,236639,1
1159206,4429,2
1159206,43387,3
1159206,54318,3
1159206,1516841,3
1159206,1208136,3
1219620,42442,1
1219620,103008,1
1219620,1187037,1
1219620,1712859,1
1219620,24289,1
1219620,3702754,1
1219620,5231336,1
1219620,5231337,1
1219620,5231338,1
1219620,5231339,1
1219620,103008,2
1219620,28391,3
