production_id,production_name,origin_country
88231,Snowglobe,DK
250039,Still Vivid,IS
122594,HOBAB,SE
2801,Film i Väst,SE
94,ARTE France Cinéma,FR
95747,Maneki Films,FR
51696,CG Cinéma,FR
173092,Dangmai Films,CN
72626,Huace Pictures,CN
278171,Lunfardo Fims,
72078,Tile Films,IE
16661,ARTE GEIE,FR
1923,RTÉ,IE
26742,Collective Pictures,CA
248006,Zerotrillion Pictures,CA
248007,Bobby F. Productions,
21979,Mer Film,NO
51112,Lava Films,PL
162093,MOTOR,DK
171066,Scanbox Production,DK
8288,Zentropa International Sweden,SE
218924,Mediefondet Zefyr,NO
274175,Casini Records,
27350,Maybe Movies,FR
94752,Ikki Films,FR
42210,2 Minutes,FR
591,France 3 Cinéma,FR
271840,Puffin Pictures,
156201,22D Music,
236298,Daemyung Film,KR
229363,Badjetlag,US
142776,Hail Mary Pictures,IE
237344,Saint Laurent Productions,FR
204957,MUBI,GB
128344,The Apartment Pictures,IT
223,Les Films du Losange,FR
132579,Weltkino,DE
204575,Cinema Inutile,US
1898,Fís Éireann/Screen Ireland,IE
272664,Vague Notion,US
139680,Saint Laurent,FR
789,Pallas Film,DE
32545,Twenty Twenty Vision Filmproduktion,DE
42374,Displaced Pictures,US
253914,Nooraluna Productions,US
82386,AMP Filmworks,CY
11237,ZDF/Arte,DE
275387,OSN+,
275388,Media City,
88326,Medan Productions,
98082,Baird Films,US
34320,Film Clinic,EG
8152,DFI,QA
275389,Ten X Group,
155990,RAI Cinema,IT
43244,Stemal Entertainment,IT
78498,21 Unofilm,IT
10146,Focus Features,US
1302,Davis Entertainment,US
207105,Present Company,US
140543,Cow Hip Films,US
173947,Dead End Pictures,US
173946,MacPac Entertainment,US
191842,Spark Features,US
277169,The Sakana Foundation,US
149522,Sons of Rigor Films,GB
12219,Cinereach,US
169960,Fit Via Vi,US
277252,Crowded Table,US
186676,Edge of 27,
103449,Every New Day Pictures,
264035,OKSUPERDANKE,
296,Filmakademie Baden-Württemberg,DE
8212,Folimage,FR
31285,Nadasdy Film,CH
80335,Beast Animation,BE
255448,CILLO,PH
198746,Kuro-Kuro,PH
220195,Roosevelt Film Lab,US
276605,Pong Jane Productions,
106909,Rosebud Productions,FR
7131,France Télévisions,FR
15530,Les Films Hatari,FR
133580,The Wits Schools of Arts,
94136,Aircraft Pictures,CA
53592,Dolphin Entertainment,US
84642,Quijote Films,CL
91235,Les Valseurs,FR
53509,Wrong Men,BE
77230,Weydemann Bros.,DE
10054,Irusoin,ES
94128,Hrvatski Audiovizualni Centar,HR
129074,Filmski centar Crne Gore,ME
20915,Hrvatska Radiotelevizija,HR
41354,Radiotelevizija Crne Gore,ME
274850,Tiny Sofa,ME
136733,Film Rental,HR
129073,Mitropa,HR
250234,Cuboto Films,
277825,Spuuk,
156351,Escuela de cine y Audiovisual del Instituto ARCOS,
251857,True Content Production,NO
78855,View Master Films,GR
177614,BoardHouse Productions,
271413,AnimeKon Studios,
274190,MohJoh,
10342,Studio Ghibli,JP
15505,NHK,JP
11376,NHK Enterprises,JP
8423,Compagnia Cinematografica Mondiale (CCM),IT
18925,Compagnie Internationale de Productions Cinématographiques (CIPRA),FR
7811,Cité Films,FR
96799,Little Magnet Films,AT
71214,Filmy Wiktora,
134166,Primo Content,AR
157677,KGP Filmproduktion,AT
148408,Omrop Fryslan,NL
143868,Tanbark Pictures,US
263685,Stetson's Kingdom,US
263686,Station Road,
131685,Picture Movers Anonymous,US
251064,Working Barn Productions,US
232299,Low Road Films,US
134139,STADIUM,US
164697,Rights Cube,JP
275120,Seismic Sound Lab,TW
275121,Ciné Forte Maison,
277828,Made By Babies,
218980,Kalei Films,VN
59723,Anti-Archive,KH
138695,Momo Film Co,SG
85214,Kongchak Pictures,KH
160354,Saga Film,RO
30666,RT Features,BR
7970,Bord Cadre Films,CH
47416,Sovereign Films,GB
19437,Paul Thiltges Distributions,LU
258311,Creator Camp,
271231,Camp Studios,
112824,Studio Santa Claus Entertainment,KR
10039,Anonymous Content,US
124854,Yoki,US
34455,Votiv Films,US
184023,Fifty-Fifty Films,US
22146,Black Bear Pictures,US
278309,WisWas,
55938,avex pictures,JP
21444,MAPPA,JP
181190,Cygames,JP
7964,Studios Idéfix,FR
5851,Dargaud Films,FR
7963,Les Productions René Goscinny,
3626,Halas and Batchelor Cartoon Films,GB
155924,What the Prod,FR
8675,Walking The Dog,BE
20338,Bidibul Productions,LU
228777,Picture Box,FR
138896,Mediawan,FR
8429,TV Cultura,BR
123220,KG Productions,FR
277995,Rohit Adhikari Films Pvt. Ltd.,
54247,Warszawska Szkoła Filmowa,PL
258097,CULT,EG
247141,INIAJA FILMS (ID),
274080,INCREATIVOX,
278306,Marc Films,
278307,Next Move,
278308,Barnett Estúdios,
26389,Family Affair Films,NL
1557,The Mark Gordon Company,US
28788,Genre Films,US
127928,20th Century Studios,US
221347,Scott Free Productions,US
263499,Slowchaos,
194124,Jumpsuit Nine Studios,
11510,Detour Filmproduction,US
58,Sony Pictures Classics,US
191684,Renovo Media Group,US
129815,Wild Atlantic Pictures,IE
98506,Under the Influence Productions,US
88582,Cinetic Media,US
254056,Not to Be Seen Productions,US
183982,Concord Originals,US
176023,Gozip Studio,KR
246412,"Cherry Elephant Co.,Ltd.",KR
246413,엔진을켜 스튜디오,KR
240467,The Room Films,
139929,The Room Studio,
14871,New York University (NYU),US
277999,Popovich Studios,
250,Canal+ Polska,PL
56375,K&K Film Selekt,PL
277298,Visage Blanc,
199028,Eye Eye Pictures,NO
259543,Lumen,FR
76,Zentropa Entertainments,DK
1618,Komplizen Film,DE
288,BBC Film,GB
189258,Oslo Filmfond,NO
226500,Alaz Film,TR
49936,Don't Look Now,NO
228923,MK Productions,FR
200135,Black Rhino Creative,
2835,Jafar Panahi Productions,IR
12389,Les Films Pelléas,FR
165898,Pio & Co,FR
96056,Toronto Metropolitan University,CA
2690,Screen Yorkshire,GB
5056,Head Gear Films,GB
25954,Metrol Technology,GB
270182,Gerontius Productions,GB
100383,Tritone Studio,LV
272665,Lumiere Lab,US
56777,1+1 Production,UA
84620,HUMAN,
120122,Willy Waltz International,
262737,Six Feet Under Productions,
13839,Metafilms,CA
197133,Club del Whisky,
183113,Irónica Cine,
138811,Ticuna Filmes,
242172,Candeeiro Filmes,
4,Paramount Pictures,US
258,Scott Rudin Productions,US
79426,MACRO,US
13240,Bron Studios,CA
1423,Escape Artists,US
95116,west coast films,
16923,Zephyr Films,GB
199556,City Films,US
290,Ingenious Media,GB
65226,ShinAwiL,IE
86902,Embankment Films,GB
2348,Nickelodeon Movies,US
2531,MRC,US
24955,Paramount Animation,US
8921,United Plankton Pictures,US
2787,Reel FX Creative Studios,US
142877,Shudder,US
179565,Cinepocalypse,US
15157,Bloody Disgusting,US
80884,Studio71,US
6736,Image Nation Abu Dhabi,AE
169906,Spooky Pictures,US
276262,Speed Demon Productions,
3657,Sidus,KR
156659,La Fonte,CN
250341,Good Sin Production,US
246741,La Dama Cine,
146940,POSTER,
268400,24 Films (FR),
268401,Association 1071 (FR),
103697,PASTEL,US
188,Big Beach,US
168181,Tango Entertainment,US
52053,High Frequency Entertainment,US
171882,Case Study Films,US
102874,Charades,FR
210197,AF Films,ES
20181,Coop Vidéo de Montréal,CA
62693,RVK Studios,IS
182028,Good Chaos,GB
48089,Escac Films,ES
166029,Bulfin Film Productions,
6223,上海美术电影制片厂,CN
78135,Shanghai Media Group,CN
96037,PARALLAX Films,CN
266417,G Media Group,
252359,TRANSCODED Filmes,
241014,El Jinete Films,
67412,Movistar Plus+,ES
262512,Los Desertores Films,ES
274901,Telefónica Audiovisual Digital,ES
259563,Filmes da Ermida,ES
49,El Deseo,ES
233580,Uri Films,ES
58747,4 A 4 Productions,FR
137710,White Picture,KR
266035,Redgod studios,
121669,LOCUS Corporation,KR
277473,Yener Film,TR
11537,LAIKA,US
11594,Passion Pictures,GB
278344,Copper Pot Pictures,US
72371,IFS Internationale Filmschule Köln GmbH,DE
199314,Mikros Animation,FR
16615,Point Grey Pictures,US
236547,The Unfamiliars,
115477,Jio Studios,IN
86699,Maddock Films,IN
73540,Saregama Productions,IN
12,New Line Cinema,US
240675,Subconscious,US
829,Vertigo Entertainment,US
18609,BoulderLight Pictures,US
216687,Domain Entertainment,US
34682,Gargantua Films,RS
142486,microFILM,RO
44862,MaXima film,HR
158940,Artikulacija Film,ME
83640,Studio Virc,SI
9111,Sirena Film,CZ
72961,Chouchkov Brothers,BG
175138,Chainsaw Europe,RO
82871,Filmski centar Srbije,RS
100887,Romanian Film Centre,RO
95011,Slovenian Film Center,SI
64275,Bulgarian National Film Center,BG
146667,Czech Film Fund,CZ
100886,Creative Europe Media,BE
46474,TVR,RO
140,Pandora Film,DE
793,Galatée Films,FR
11008,Inforg-M&M Film,HU
127914,Rediance,CN
274902,Allons Voir,BE
10826,Akson Studio,PL
135022,Wytwórnia Filmów Fabularnych we Wrocławiu,PL
167232,Dolnośląskie Centrum Filmowe,PL
6480,Telewizja Polska,PL
222911,The Fryderyk Chopin Institute,PL
54245,Silesia Film,PL
129370,EC1 Łódź,PL
125737,Mazowiecki Instytut Kultury,PL
146420,Mililú Films,
182406,Spotted Bird,
270229,Murmur Animation,
266910,Kasa Vella Films (ES),
266911,Xurdir (ES),
237221,Mandarin & Compagnie,FR
121655,Kallouche Cinéma,FR
49473,Frakas Productions,BE
792,RTBF,BE
92187,Proximus,BE
24430,BeTV,BE
245340,Orange,BE
145926,Complementary Colors,US
93766,Blink Productions,GB
89900,We Are Films,US
209032,Materia Cinema,ES
269387,Nightjar Films,US
270974,Sherpa Films,
270975,Lake Forest Films,
39720,One Two Films,DE
12372,UFA,DE
62033,Aiken Heart Films,CA
8981,Conquering Lion Pictures,CA
116928,Untitled Films,US
