movie_id,title,overview,original_language,popularity,budget,imdb_id,revenue,runtime,status,vote_average,vote_count,release_date
1549312,Raised by Waves,"The documentary follows teenage surfing prodigies Justin (15), Eric (15), and ""Baby"" Steve Roberson (14) as they prepare to ride the legendary, perilous swells of Maui's iconic JAWS.",en,0.4228,0,tt38681837,0,76,Released,0.0,0,2025-10-26
1524748,Skin of Sadness,A shocking act of violence becomes a unique bond between two lonely men which leads them to discover the meaning of love in most unexpected ways.,tr,0.2977,0,,0,20,Released,0.0,0,2025-09-19
1258509,The Love That Remains,"Tenderly captures a year in the life of a family as the parents navigate their separation. Through both playful and heartfelt moments, the film portrays the bittersweet essence of faded love and shared memories amidst the changing seasons.",is,2.7193,0,tt33381401,0,109,Released,6.8,4,2025-08-14
1563661,The Reporter,"Ukraine, August 2024. Tomasz, a Polish photojournalist on the frontlines, is determined to prove to his editorial team, the Ukrainian soldiers, and himself that his work can make an impact on the dwindling interest in the war.",pl,0.0143,0,,0,23,Released,0.0,0,2025-10-26
878608,Resurrection,"In a world where humanity has lost the ability to dream, one creature remains entranced by the fading illusions of the dreamworld. This monster, adrift in reverie, clings to visions no one else can see — until a woman appears. Gifted with the rare power to perceive these illusions for what they truly are, she chooses to enter the monster’s dreams, determined to uncover the truth that lies hidden within.",zh,4.359,0,tt29002950,0,156,Released,0.0,0,2025-10-24
1568785,Diffidence,A transgender man surviving conversion therapy.,xx,0.0071,0,,0,12,Released,0.0,0,2025-10-25
1563664,Light in the Waves,"A lighthouse keeper loses his family in a storm, so he can't let another death happen.",uk,0.3295,0,,0,7,Released,0.0,0,2025-10-26
1567761,The Chosen Ones,"On a deserted beach, Matías and Laura enjoy an idyllic moment by the sea. But the tide rises and reaches their feet, revealing the shackles that bind them to a concrete base beneath the sand. It's only a matter of time.",es,0.2575,0,tt32849016,0,10,Released,0.0,0,2025-11-11
1564692,Halloween – An Ancient Mystery,"Halloween, often seen as an American custom, dates back to the Celtic festival of Samhain, which was already known in Gaul and Ireland. A two-thousand-year-old bronze calendar attests to this tradition. At that time, people believed that the gates to “another world” were open. The documentary uses archaeological evidence to show how Celtic customs gave rise to the modern Halloween festival.",en,0.5997,0,,0,90,Released,8.0,1,2025-10-18
1168402,Racewalkers,"Will could never compete in the sport he’s always loved: racewalking. While struggling to find respect as a coach, Will’s fortunes change when he spots a burnout pitcher with the most impeccable racewalking stride he’s ever seen. Together, Will and Matt team up, face the challenges of a sport that doesn’t want them, and to try to take down the best walker in the country.",en,0.8187,0,tt31194464,0,82,Released,0.0,0,2025-02-21
1284120,The Ugly Stepsister,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",no,43.4768,4250000,tt29344903,4601915,109,Released,7.245,515,2025-03-07
1546265,Mother's Messiah,"After his fiancée leaves him, a Christian in crisis heads into the wilderness to test his faith, only to find comfort by Mother Nature who has cryptic plans for him.",en,0.1664,2300,,0,18,Released,0.0,0,2025-10-25
1288219,Under the Lights,"Desperate to feel 'normal', a boy with epilepsy sets his heart on prom, knowing that the lights will trigger a seizure.",en,3.7057,0,tt32314672,0,108,Released,0.0,0,2025-10-11
682012,Little Amélie or the Character of Rain,"The world is a perplexing, peaceful mystery to Amélie until a miraculous encounter with chocolate ignites her wild sense of curiosity. As she develops a deep attachment to her family's housekeeper, Nishio-san, Amélie discovers the wonders of nature as well as the emotional truths hidden beneath the surface of her family's idyllic life as foreigners in post-war Japan.",fr,4.7294,11073938,tt29313285,1530750,75,Released,7.9,44,2025-06-25
1568796,Lifewasters,Marla is making a documentary about Sparky.,en,0.0429,0,,0,12,Released,0.0,0,2025-10-25
1172507,House of the Seasons,"It’s summer, and the whole Kim family has gathered in Daegu for the ancestral rites. This includes Seong-jin, the eldest grandson of the family, whose father has taken on the family business: a tofu factory. After the rites, family tensions start to rise and Seong-jin drops the bombshell that he won’t be taking on the family business.",ko,2.4757,0,tt29579063,0,121,Released,7.0,5,2024-09-11
1462304,The Story,"Working on his screenplay about two guys admitting their feelings for each other, a film directing major from Kyiv, Lyonya, asks his classmate Andriy, with whom he's secretly in love, to help with the script editing.",uk,0.0168,0,tt37546195,0,30,Released,0.0,0,2025-04-19
1493026,Letters to My Dead Parents,"What do you tell your dead parents? Combining family archives and glimpses of today, the filmmaker weaves together fifty years of his life and the socio-political history of Chile. The montage wanders through the ages, between light and shadow, without ever leaving the joy.",es,0.5267,0,tt38453064,0,106,Released,0.0,0,2025-07-10
1568803,Stiller & Meara: Nothing Is Lost,Follows a tribute to the comedy duo and a personal exploration by Ben Stiller into his family's legacy.,en,0.1,0,,0,0,Released,0.0,0,2025-10-25
1567779,THE FERRIS WHEEL,"When the world recedes and material happiness becomes a nuisance value, a mentally distracted self-critique rediscovers his soul by riding his Ferris Wheel, in search for his roots.",en,0.0261,0,,0,44,Released,0.0,0,2025-10-25
1552421,Flickers,"An elderly woman battles horrifying circumstances designed by her deteriorating mind - and in her darkest hours, flickers of her true self shine through.",en,0.0261,0,tt38515508,0,8,Released,0.0,0,2025-10-25
1159206,Father Mother Sister Brother,"Three stories concerning the relationships between adult children, their somewhat distant parent (or parents), and each other: a reclusive father visited by his grown children in the US, sisters visiting their novelist mother in Dublin, and adult twins called back to their Paris apartment to address a family tragedy.",en,5.0357,0,tt31189315,0,110,Released,0.0,0,2025-12-18
1219620,All That's Left of You,"In the Occupied West Bank of the 1980s, a Palestinian teenager is swept into a protest that changes the course of his family's life. Reeling from its aftermath, his mother, Hanan, shares the story that led them to that fateful moment. Spanning seven decades, this epic drama traces the hopes and heartaches of one uprooted family, revealing not only the scars of displacement, but the unbreakable spirit of survival.",ar,7.8884,0,tt29344894,276431,145,Released,8.8,8,2025-09-25
1457188,Below the Clouds,"Naples faces dual volcanic threats from Vesuvius and Campi Flegrei. Amid increasing tremors, archaeologists work as residents live anxiously, haunted by Pompeii's fate while emergency services strain.",it,0.3462,0,tt36874833,0,115,Released,7.1,4,2025-09-18
1568813,MEATCANYON,"Obsessed with his declining online relevance, Hunter descends into madness as he extracts grotesque, malformed cartoon ideas from a decaying creature locked in his basement",en,0.0786,0,,0,13,Released,10.0,1,2025-10-25
1371185,Song Sung Blue,"Based on a true story, two down-on-their-luck musicians form a joyous Neil Diamond tribute band, proving it's never too late to find love and follow your dreams.",en,3.9234,0,tt30343021,0,132,Released,0.0,0,2025-12-25
1211442,Rebuilding,"After wildfires take his ranch, a cowboy named Dusty winds up in a FEMA camp, finding community with others who lost homes, including his daughter and ex-wife.",en,8.6177,0,tt29361963,0,95,Released,0.0,0,2025-11-14
1547316,See You Again,A young couple on an ill-fated second date find themselves up against the elements and each other when they become stranded on a remote lake island.,en,1.4565,0,tt32306978,0,103,Released,0.0,0,2025-10-26
1484861,The Swimsuit,"On a day of summer, Noa gets gifted a Swimsuit that changes Noas perspective on the world irreversibly.",de,0.2027,0,tt37537737,0,11,Released,10.0,1,2025-05-30
989246,The Songbirds' Secret,"When 9-year-old Lucie arrives at Bectoile for the vacations, she has no idea of the adventures ahead. Her mother, Caroline, is leading an archaeological dig in the region with her colleague Pierrot. Bectoile is also the town where Caroline grew up, and the scene of a family secret... which Lucie is about to unveil! With the help of her new friend Yann and a very special pair of songbirds, Lucie is determined to delve into her family story. From the underground of a ruined castle to a camper van parked on the edge of the woods, this adventure will lead them from unusual surprises to fabulous discoveries!",fr,0.6163,4600000,tt29497084,0,66,Released,0.0,0,2025-10-22
1230916,Cinebuano,"Six individuals from different generations recall the golden age of Cebuano cinema, modern Cebuano cinema, their experiences, and discuss their aspirations about the future of Cebu’s film scene.",tl,0.942,0,tt30982778,0,20,Released,0.0,0,2023-09-11
1468488,The Long Shot,"Ray Mueller is a lovable slacker who lives and works at the city’s historic municipal golf course — aka Muny — whose world is turned upside down when a no-nonsense consultant arrives to decide whether the course deserves to survive. As Ray and his band of misfit staff scramble to prove Muny’s value, they find themselves up against greedy tech bros, unscrupulous city officials, and the relentless pressures of Austin’s high cost of living.",en,0.8696,0,tt36586374,0,95,Released,0.0,0,2025-04-25
1458251,All in Good Time,A confrontation between the heir to a criminal empire and the relative of one of his victims becomes a battle of wits that can only end in further bloodshed.,en,0.3726,0,,0,18,Released,0.0,0,2025-10-25
1027147,Bea,"As an immigrant from Venezuela, a young woman named Bea learns to deal with the lingering effects of the world she left behind while discovering hopes for a new life in Paris.",en,0.1957,0,tt11621428,0,13,Released,0.0,0,2025-10-26
1518673,Writing Life – Annie Ernaux Through the Eyes of High School Students,"A major figure in contemporary feminism and the first Frenchwoman to win the Nobel Prize for Literature, Annie Ernaux is seen by many as a source of individual and collective emancipation, blending the intimate with the universal. Filmmaker Claire Simon has devoted an original portrait to her, giving students and teachers a voice.",fr,0.3634,0,tt37677927,0,90,Released,0.0,0,2025-08-28
1478739,Na Passagem do Trópico,"A surveyor maps landslide risk areas in the city of Ubatuba, in a hillside region of the Atlantic Forest. Obsessed with measuring and organizing, he encounters a landscape of chaotic human occupation and ongoing conflicts. The city’s history crosses his path, and through his theodolite, he begins to see images of the past.",pt,0.28,0,,0,86,Released,0.0,0,2025-01-01
1405013,Rastros Invisíveis,,pt,0.1568,0,,0,0,Released,0.0,0,2025-10-25
1565783,Pookie Die,A young man unable to outrun his past is faced with the reality of his decisions in a supernatural encounter with his dead guinea pig.,en,0.0577,0,,0,1,Released,0.0,0,2025-10-25
1453149,The Last Spy,"The riveting biography of 102-year-old CIA spymaster Peter Sichel, who unpacks the obscured roots of conflicts that plague today’s world and the toll espionage took on his personal life.",en,0.7038,0,tt30486139,0,0,Released,0.0,0,2025-06-29
1022046,Youngblood,"Follows Dean Youngblood, a hockey prodigy who joins the Hamilton Bulldogs and has to deal with toxic behavior during his journey to the National Hockey League draft.",en,0.7213,0,tt22005882,0,105,Released,0.0,0,2025-09-06
896096,The Mysterious Gaze of the Flamingo,"As an unknown and deadly disease begins to spread, legend has it that it is transmitted between two men, through a simple glance, when they fall in love. While people are accusing her family, Lidia must find out whether this myth is real or not.",es,2.3028,0,tt22237964,0,104,Released,7.0,1,2025-09-11
1568865,I Hope It Happened the Way I Think It Did,"Made over the course of three days, this film is the culmination of three weeks.",en,0.0786,0,,0,5,Released,10.0,1,2025-10-25
1549409,The Cow,"Occupied Croatia, 1991. An army major reluctantly agress to take care of a cow that's been left for dead in a recently abanndoned building, however, taking care of the creature reveals deeper truths about the human nature to him.",hr,0.457,0,,0,18,Released,0.0,0,2025-10-25
1303651,Blood Will Rise,"Gabriel, a lonely man who cares for his wife infected by a zombie virus, receives the visit of two strangers who come looking for a place to spend the night.",es,0.0884,0,tt33378145,0,18,Released,0.0,0,2024-07-05
1565798,"Happy, Again","Luz, a shy young woman, faces her worst nightmare when her friend throws her a surprise birthday party that spirals into anxiety, paranoia, and a blur between reality and her deepest fears.",es,0.1274,832,,0,9,Released,0.0,0,2025-10-25
1566825,CATILINA,"Over the course of one day, a young drama teacher at a high school, struggles to stay true to her artistic vision as an Ibsen-director while her girlfriend, the school system, and modern society stand in her way.",en,0.1868,125000,,0,44,Released,0.0,0,2025-10-25
1560687,The Tree Behind the Zigzag Sign,"Parco writes a plea letter for his younger brother Rico, arrested for his role in the 2019 Hong Kong protests. The process stirs memories of Parco’s own 2014 arrest and their emotional distance. Before Rico’s sentence, the brothers share a rare moment of connection and plan to document prison life.  Parco moves abroad before Rico’s release. The family sells their home, preparing to emigrate. On a final trip to Japan, Rico briefly experiences freedom, while Parco is wrongly arrested. As the family prepares to leave Hong Kong, Parco reads his letter one last time, confronting questions of fear, freedom, and identity—as a Hongkonger and a brother.",zh,0.1846,0,,0,30,Released,0.0,0,2025-10-26
1567856,Unreliable Witness,"An exhausted detective interrogates three suspects after an altercation gone awry. As these mischievous suspects delve into their stories, will Detective Finch squeeze the truth out of them?",en,0.0361,50,,0,19,Released,0.0,0,2025-10-26
1382513,Hen,"« With great power comes great responsibility » — but what if the hero is just a hen? Escaping from a chicken farm, she finds refuge in the courtyard of a crumbling restaurant. There, she discovers love, confronts the pecking order, and fights to protect her eggs from a greedy owner. Her droll yet touching quest for motherhood mirrors the messy compromises and silent struggles of human lives.",el,2.0396,0,tt29283995,0,96,Released,0.0,0,2025-09-08
1476724,A Life in Color,"When we first meet Eleanor, she’s doing fitness exercises. She seems to be enjoying her life to the fullest, has a colorful wardrobe, keeps active, and loves to dance. Every day, every hour is precious. Can it be that such an energetic woman is already 92 years old? Eleanor wants to hold on to life and cannot bring herself to make a will.",de,0.2909,0,tt36632599,0,0,Released,0.0,0,2025-05-02
